track_id,genre,real_track_id,path,artist,album,title,spotify_track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
56,classical,56,/content/classical/56.mp3,Musica Franca,Corrette - Le Phenix - Les Delices de la Solitude,Les Delices de la Solitude Op. 20 - Sonata I in F major - Aria,1lcVtQke76cGIzgTnzFdpl,0.233,0.0504,5,-24.5,1,0.0367,0.954,0.0172,0.0845,0.229,134.459
57,classical,57,/content/classical/57.mp3,Bezdin Ensemble,Vivaldi Sacred Box,Magnificat (Antonio Vivaldi),4BrqvRI17dsHRmj6IpV1GM,0.286,0.149,6,-19.988,0,0.0434,0.969,0.00339,0.11,0.0717,125.15
58,classical,58,/content/classical/58.mp3,Bezdin Ensemble,Si Fossi Foco,If I were emperor,3ecSXt5Y3LOLCToRB4i63p,0.297,0.207,3,-10.702,0,0.0393,0.884,0.529,0.206,0.26,86.014
59,classical,59,/content/classical/59.mp3,Bezdin Ensemble,Boccherini Fandango Box,Sinfonia In Re Minore (Luigi Boccherini),4pqh9rZuRVVHruSetDHLE3,0.307,0.184,5,-17.597,1,0.0368,0.983,0.625,0.107,0.0707,113.182
60,classical,60,/content/classical/60.mp3,Ivan Ilic,Fugitive Visions - Piano Masterworks by Chopin and Liszt,Chopin Prelude In B Minor Opus 28,27dNq6LLwOrP91v2i2FO0D,0.383,0.0134,9,-31.778,0,0.0557,0.996,0.799,0.0708,0.0386,126.427
61,classical,61,/content/classical/61.mp3,Musica Franca,Corrette - Le Phenix - Les Delices de la Solitude,Sonata II in D minor - Allegro,2iHH1qVZPw1J1Lf1mifRSt,0.452,0.229,5,-21.557,1,0.0296,0.991,0.955,0.0785,0.828,94.998
62,classical,62,/content/classical/62.mp3,Janine Johnson,Chopin Recital,Waltz KK IVa no.12 in E major,1f3MVDwSNuqBtMxloyLvvD,0.495,0.106,4,-23.852,1,0.0476,0.993,0.921,0.126,0.675,119.998
63,classical,63,/content/classical/63.mp3,Ivan Ilic,Romantic - Powerful Miniatures by Schumann and Brahms,Intermezzo in E Major Opus 116 No.6 (Johannes Brahms),1Sa03TevW8uKcVieD3LHJ0,0.356,0.0271,4,-27.716,1,0.0496,0.995,0.899,0.0901,0.0665,76.451
64,classical,64,/content/classical/64.mp3,Musica Franca,Corrette - Le Phenix - Les Delices de la Solitude,Sonata III in C major - Fuga da capella,5tY3Nzjutp05g2OleVbthn,0.492,0.271,0,-26.848,1,0.0355,0.996,0.95,0.095,0.907,130.917
65,classical,65,/content/classical/65.mp3,Janine Johnson,Telemann Harpsichord Solos from Der Getreue Music Meister,Trouble fete (Gorner),3NpNbK1v8O6uU0dQMJgkuz,0.308,0.46,11,-10.307,1,0.0347,0.576,0.0123,0.159,0.896,91.941
66,classical,66,/content/classical/66.mp3,Ivan Ilic,Fugitive Visions - Piano Masterworks by Chopin and Liszt,Chopin Prelude In C Sharp Minor Opus 28,7KJio7FwXuLrqvmmG1y4Rj,0.445,0.0606,6,-29.517,0,0.0413,0.994,0.785,0.0946,0.707,141.515
67,classical,67,/content/classical/67.mp3,Altri Stromenti,Italian Music of the 17th Century,Gagliard Seconda (Giovanni Battista Buonamente),376Ex3IlFOpcXelKREEFH7,0.354,0.198,0,-15.702,1,0.0388,0.942,2.29E-05,0.185,0.52,129.764
68,classical,68,/content/classical/68.mp3,John Fleagle,Worlds Bliss - Medieval Songs of Love and Death,Alysoun,6ozOXbh1k3XBIHL9kzCAxf,0.288,0.0173,7,-25.41,1,0.0417,0.986,0.0189,0.0785,0.152,100.544
69,classical,69,/content/classical/69.mp3,JungHae Kim,The Virginalists,More Palatino (Jan Pieterszoon Sweelinck),0vHQEJFE8EEfGtwuaQsCE8,0.264,0.536,4,-12.348,1,0.0305,0.948,0.9,0.0705,0.654,107.704
70,classical,70,/content/classical/70.mp3,Katherine Roberts Perl,JS Bach French Suites,Suite No 4 in E flat major BWV 815: Allemande,7p8SPhxmUJbWZQ37WJBl15,0.149,0.316,1,-19.129,1,0.0363,0.948,0.741,0.0768,0.772,181.806
71,classical,71,/content/classical/71.mp3,La Primavera,English Renaissance Music,Oxenford (Anon),1eiI9Vgpr7reo0tRULPRpV,0.803,0.222,7,-11.533,1,0.0431,0.655,0.00394,0.07,0.414,117.058
72,classical,72,/content/classical/72.mp3,Lara St John,Bach Violin Concertos,BWV 1041 : I. Allegro,1ubTqi3QUWWTR82ltF8ZG0,0.574,0.301,9,-14.983,0,0.0388,0.9,0.0183,0.0786,0.583,103.359
73,classical,73,/content/classical/73.mp3,Ivan Ilic,Fugitive Visions - Piano Masterworks by Chopin and Liszt,Chopin Prelude In C Major Opus 28,1WcJcEqsyUEeCKhVfj7ZCX,0.469,0.0134,4,-26.023,1,0.0502,0.995,0.916,0.102,0.0357,122.441
74,classical,74,/content/classical/74.mp3,Lara St John,Bach Violin Concertos,BWV 1001 / IV. Presto,1E9BEYNXGE25B4HRNbe38a,0.468,0.178,7,-20.824,0,0.0554,0.993,0.927,0.164,0.959,127.872
75,classical,75,/content/classical/75.mp3,Ivan Ilic,Romantic - Powerful Miniatures by Schumann and Brahms,Romance in B Major Opus 28 No.3 (Robert Schumann),2p07d16xdpMvjTfYJaMho9,0.352,0.0443,11,-25.665,1,0.0378,0.995,0.881,0.0931,0.247,142.352
76,classical,76,/content/classical/76.mp3,Maryse Carlin,Rameau - Pieces De Clavecin En Concerts - Forqueray Suites 4 and 5,Premier Concert - Coulicam (Rameau),1pjeeQKWoQxXewmBVpHtub,0.29,0.335,11,-22.631,0,0.0375,0.952,0.342,0.0426,0.746,99.562
77,classical,77,/content/classical/77.mp3,Ivan Ilic,Fugitive Visions - Piano Masterworks by Chopin and Liszt,Chopin Prelude In A Flat Major Opus 28,78LNt4v31eS7gqs3S4O8WZ,0.354,0.085,8,-29.974,1,0.0428,0.995,0.88,0.106,0.0831,113.898
78,classical,78,/content/classical/78.mp3,Music of the Spheres,Music of the Spheres,Matteis: Ground After the Scotch Humour,70LgM1ANLX30VmZDRYCmFD,0.412,0.296,4,-14.806,1,0.0399,0.72,0,0.121,0.667,69.722
79,classical,79,/content/classical/79.mp3,Musica Franca,Boismortier - Sonatas for Two Bassoons and Continuo,Sonata No. 1 in E minor Op. 50 - Andante ,5wIdceHrFREUDPGWLYfOSy,0.396,0.162,4,-24.44,0,0.041,0.996,0.927,0.098,0.43,145.811
80,classical,80,/content/classical/80.mp3,Musica Franca,Corrette - Le Phenix - Les Delices de la Solitude,Phenix - Allegro,0ru7ppZyya7NVqnpNFBF3u,0.312,0.144,2,-24.732,1,0.0366,0.995,0.868,0.112,0.656,167.665
81,classical,81,/content/classical/81.mp3,Musica Franca,Corrette - Le Phenix - Les Delices de la Solitude,Sonata IV in B-flat major - Bruit de chasse,27xdEutt3SrBR3LfWoEfAr,0.624,0.397,10,-21.087,1,0.0539,0.995,0.931,0.0717,0.686,103.963
82,classical,82,/content/classical/82.mp3,Ivan Ilic,Romantic - Powerful Miniatures by Schumann and Brahms,Intermezzo in E flat Major Opus 117 No.1 (Johannes Brahms),0cNkTX5z7HF9ZO6IpuHY6t,0.406,0.00699,3,-33.418,1,0.0773,0.996,0.946,0.0803,0.0697,79.031
83,classical,83,/content/classical/83.mp3,Orinda,Airs de Cour,Ma belle si ton ame (Gilles Durant de la Bergerie),3WvlPjx0LsThdnDOybICr1,0.553,0.0333,11,-26.201,0,0.0478,0.988,0,0.0748,0.314,101.845
84,classical,84,/content/classical/84.mp3,Paul Beier,Alessandro Piccinini,Toccata XX,6QeNSsgkxDTKOKvIbta9e3,0.324,0.262,6,-13.41,0,0.0428,0.968,0.909,0.0938,0.276,92.037
85,classical,85,/content/classical/85.mp3,Altri Stromenti,Italian Music of the 17th Century,Aria Nona (Marco Uccellini),2G4PNYSG5MFebgYEkjhV5X,0.367,0.199,2,-16.145,1,0.0486,0.902,0.0034,0.189,0.146,128.727
86,classical,86,/content/classical/86.mp3,Ivan Ilic,Romantic - Powerful Miniatures by Schumann and Brahms,Capriccio in G minor Opus 116 No.3 (Johannes Brahms),31btse2R2Yl3c2Mq0c97Mx,0.308,0.0287,10,-29.394,1,0.053,0.994,0.821,0.169,0.132,63.743
87,classical,87,/content/classical/87.mp3,Paul Berget,JS Bach on the Lute,Prelude (BWV 996) ,1m1FlZqQxFSaE5IHJyWxpG,0.562,0.136,6,-19.733,0,0.111,0.986,0.831,0.0652,0.378,120.694
88,classical,88,/content/classical/88.mp3,Ivan Ilic,Fugitive Visions - Piano Masterworks by Chopin and Liszt,Chopin Prelude In G Sharp Minor Opus 28,6QigSGaSqn2qSM5pTf5HNG,0.445,0.165,8,-22.962,0,0.0343,0.995,0.89,0.118,0.633,110.036
89,classical,89,/content/classical/89.mp3,Ivan Ilic,Romantic - Powerful Miniatures by Schumann and Brahms,Romance in F sharp Major Opus 28 No.2 (Robert Schumann),05KYRG87szC4jAgzplWB2O,0.311,0.00536,6,-37.569,1,0.0551,0.996,0.845,0.109,0.195,81.572
90,classical,90,/content/classical/90.mp3,Phebe Craig and Katherine Westine,Beside Themselves,WF Bach: Concerto in F Major for 2 Harpsichords (Allegro moderato),03Fk519kEz0ys4RzBabHsD,0.263,0.348,4,-16.05,1,0.031,0.756,0.0308,0.202,0.589,134.078
91,classical,91,/content/classical/91.mp3,Ralph Rousseau Meulenbroeks,Moved By Marais,Prelude: Suite In G Minor: Le Cinquieme Livre De Pieces De Viole (1725),1tDZq6ZP7fKM6rebhQVwhl,0.126,0.0753,6,-23.844,0,0.0365,0.808,0.0351,0.207,0.103,94.723
92,classical,92,/content/classical/92.mp3,Richard Savino,Legrenzi - Venice Before Vivaldi,Sonata Seconda A Tre - Due Violini E Viola Da Brazzo,1JcAEa0j4ddDkKsAAu72MT,0.172,0.0688,9,-21.055,1,0.0577,0.961,0.00845,0.108,0.18,67.202
93,classical,93,/content/classical/93.mp3,Richard Savino,Mertz - Bardic Sounds,To Malvina,6elVjmMY7mHLAsf8WI2I29,0.265,0.0255,7,-31.739,1,0.0445,0.995,0.899,0.0981,0.126,97.246
94,classical,94,/content/classical/94.mp3,Altri Stromenti,Italian Music of the 17th Century,La Maltese (Mauritio Cazzati),0upI0Lh3iOCKAEWUYZljXh,0.327,0.17,9,-19.841,0,0.0384,0.961,0.108,0.158,0.233,134.703
95,classical,95,/content/classical/95.mp3,Musica Franca,Corrette - Le Phenix - Les Delices de la Solitude,Concerto No. 1 in G major Op. 26 for Organ - Allegro,5dB1DJRRjpMSnjhZzATuJt,0.31,0.228,2,-17.269,1,0.0389,0.968,0.0147,0.103,0.652,177.029
96,classical,96,/content/classical/96.mp3,Seth Carlin,Mozart in the Age of Enlightenment,Sonata in G major - Allegro (Juliane Reichardt),7kuY7DRyd46M59u8FpdXdJ,0.378,0.0918,6,-27.796,1,0.0388,0.99,0.86,0.108,0.573,128.412
97,classical,97,/content/classical/97.mp3,Ivan Ilic,Fugitive Visions - Piano Masterworks by Chopin and Liszt,Liszt Variations On A Theme By Bach 'Weinen Klagen',0GBNI4bZ55xvt1lhN3YHOz,0.317,0.0717,1,-23.796,1,0.0444,0.985,0.888,0.0913,0.0378,78.178
98,classical,98,/content/classical/98.mp3,Altri Stromenti,Italian Music of the 17th Century,La Moneverda (Tarquinio Merula),0wVHTVgJf0uAjxVYx1o7l7,0.331,0.0582,5,-22.233,1,0.0478,0.961,0.000387,0.102,0.222,146.133
99,classical,99,/content/classical/99.mp3,Telemann Trio Berlin,Telemann Trio Berlin,Triosonate fur Flute Violine und Basso - Dolce (Telemann),4XKogfcnoBnK9aKSsnoOzh,0.357,0.12,0,-16.532,1,0.0385,0.794,0.0187,0.116,0.433,91.768
100,classical,100,/content/classical/100.mp3,The Sarasa Ensemble,A Baroque Mosaic,Partia No 5 - Intrada (Biber),4TqBF1lSz22CglBgMidA2R,0.408,0.178,6,-13.463,0,0.0399,0.829,0.000341,0.47,0.45,98.038
101,rock,1,/content/rock/1.mp3,Greg Annussek,Little Palaces,Young Again,7GjJI16ZvLYisNRnivPHy9,0.547,0.782,9,-6.409,0,0.0242,0.0109,0.000546,0.356,0.408,100.84
102,rock,2,/content/rock/2.mp3,Shane Jackman,Equilibrium,What I did on my summer vacation,3mocvhRJHJ3T56phxkxsVg,0.731,0.398,7,-8.912,1,0.0405,0.419,6.04E-05,0.121,0.423,144.06
103,rock,3,/content/rock/3.mp3,Barbara Leoni,Human Needs,Demons,4nQbhZURyrdqqR2YtutJo9,0.519,0.703,11,-4.663,0,0.0477,0.431,0.00067,0.357,0.632,171.997
104,rock,4,/content/rock/4.mp3,Tom Bolton,When I Cross The River,When I Cross The River,559pYCSDiZqfLgugc9rx1a,0.523,0.495,9,-9.416,0,0.0281,0.777,3.27E-05,0.0906,0.35,134.67
105,rock,5,/content/rock/5.mp3,DJ Cary,Sonic Chill,Birds in a Rat Race (Mountain Mirrors),44QPvke4WcykCDHrgJT7Y2,0.316,0.44,2,-8.943,0,0.0306,0.442,0.188,0.246,0.0534,131.101
106,rock,6,/content/rock/6.mp3,Russ Hopkins,Sweet Mystery,Shattered,10565aHhpGlshv47A5hZVx,0.647,0.351,4,-10.084,1,0.037,0.51,0.00123,0.111,0.251,135.927
107,rock,7,/content/rock/7.mp3,Val Davis,Immortal_,Texas Sky,4r338oveqm2E55dJufdS2Q,0.603,0.533,0,-9.197,1,0.0351,0.397,0.155,0.141,0.528,127.827
